# PongSmith Produktliste — für Recherche-Agenten
# Format: slug | Name | Hersteller | Typ

## Beläge (rubbers)

dawei-388d-1 | 388D-1 | Dawei | Belag-lange-Noppen
friendship-729-cream | 729 Cream | Friendship | Belag-anti
friendship-802-40 | 802-40 | Friendship | Belag-kurze-Noppen
juic-999-elite | 999 Elite | Juic | Belag-lange-Noppen
dr-neubauer-abs-2 | A-B-S 2 | Dr. Neubauer | Belag-lange-Noppen
dr-neubauer-aggressivo | Aggressivo | Dr. Neubauer | Belag-anti
andro-hexer | Andro Hexer | Andro | Belag-invertiert
andro-hexer-powergrip | Andro Hexer Powergrip | Andro | Belag-invertiert
andro-rasant | Andro Rasant | Andro | Belag-invertiert
andro-rasant-powergrip | Andro Rasant PowerGrip | Andro | Belag-invertiert
butterfly-dignics-05 | Butterfly Dignics 05 | Butterfly | Belag-invertiert
butterfly-dignics-09c | Butterfly Dignics 09C | Butterfly | Belag-invertiert
butterfly-dignics-64 | Butterfly Dignics 64 | Butterfly | Belag-invertiert
butterfly-dignics-80 | Butterfly Dignics 80 | Butterfly | Belag-invertiert
butterfly-rozena | Butterfly Rozena | Butterfly | Belag-invertiert
butterfly-sriver-el | Butterfly Sriver EL | Butterfly | Belag-invertiert
butterfly-tackifire-drive | Butterfly Tackifire Drive | Butterfly | Belag-invertiert
butterfly-tenergy-05 | Butterfly Tenergy 05 | Butterfly | Belag-invertiert
butterfly-tenergy-05-fx | Butterfly Tenergy 05 FX | Butterfly | Belag-invertiert
butterfly-tenergy-19 | Butterfly Tenergy 19 | Butterfly | Belag-invertiert
butterfly-tenergy-64 | Butterfly Tenergy 64 | Butterfly | Belag-invertiert
butterfly-tenergy-80 | Butterfly Tenergy 80 | Butterfly | Belag-invertiert
butterfly-tenergy-80-fx | Butterfly Tenergy 80 FX | Butterfly | Belag-invertiert
nittaku-curl-p1r | Curl P-1R | Nittaku | Belag-lange-Noppen
victas-curl-p5v | Curl P5V | Victas | Belag-anti
dr-neubauer-desperado | Desperado | Dr. Neubauer | Belag-lange-Noppen
dhs-hurricane-3 | DHS Hurricane 3 (H3) | DHS | Belag-invertiert
dhs-hurricane-8 | DHS Hurricane 8 | DHS | Belag-invertiert
donic-baracuda | Donic Baracuda | Donic | Belag-invertiert
donic-bluefire-m1 | Donic Bluefire M1 | Donic | Belag-invertiert
donic-bluefire-m2 | Donic Bluefire M2 | Donic | Belag-invertiert
donic-bluefire-m3 | Donic Bluefire M3 | Donic | Belag-invertiert
donic-coppa-jo-silver | Donic Coppa JO Silver | Donic | Belag-invertiert
spinlord-dornenglanz-ii | Dornenglanz II | SpinLord | Belag-lange-Noppen
